,categories,user_reviews
3,single-player;online pvp;steam achievements;steam trading cards;steam workshop;steam cloud,0.91
4,single-player;online pvp;online co-op;steam achievements;full controller support;in-app purchases;remote play on phone;remote play on tablet;remote play on tv;requires agreement to a 3rd-party eula;destiny 2 eula,0.87
12,single-player;online co-op;lan co-op;cross-platform multiplayer;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv;incorporates 3rd-party drm: denuvo anti-tamper5 activations per 24 hours machine activation limit;requires agreement to a 3rd-party eula;borderlands 3 eula,0.85
14,online pvp;online co-op;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv;requires agreement to a 3rd-party eula;dead by daylight eula,0.87
17,single-player;mmo;online pvp;online co-op;cross-platform multiplayer;partial controller support;remote play on tablet,0.89
19,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv;requires agreement to a 3rd-party eula;metro exodus eula,0.85
39,single-player;online co-op;lan co-op;cross-platform multiplayer;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv;incorporates 3rd-party drm: denuvo anti-tamper5 activations per 24 hours machine activation limit;requires agreement to a 3rd-party eula;borderlands 3 eula,0.85
41,online pvp;online co-op;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv;requires agreement to a 3rd-party eula;dead by daylight eula,0.87
54,online co-op;cross-platform multiplayer;steam achievements;in-app purchases;partial controller support;requires agreement to a 3rd-party eula;phantasy star online 2 eula,0.8
60,single-player;steam achievements;steam trading cards;partial controller support;steam cloud;stats;steam leaderboards;remote play on tablet;incorporates 3rd-party drm: denuvo anti-tamper5 different pc within a day machine activation limit;requires agreement to a 3rd-party eula;monster hunter: world eula,0.91
61,single-player;online pvp;online co-op;steam achievements;full controller support;steam cloud;remote play on tablet;remote play on tv;requires agreement to a 3rd-party eula;no man's sky eula,0.89
64,single-player;online pvp;online co-op;full controller support;steam cloud;steam leaderboards;remote play on phone;remote play on tablet;remote play on tv;requires agreement to a 3rd-party eula;risk of rain 2 eula,0.96
68,online pvp;steam workshop;steam cloud;valve anti-cheat enabled;requires agreement to a 3rd-party eula;day;z eula,0.82
72,single-player;steam achievements;partial controller support;steam cloud;remote play on phone;remote play on tablet;requires agreement to a 3rd-party eula;the elder scrolls v: skyrim special edition eula,0.96
74,single-player;mmo;steam achievements;full controller support;steam workshop;steam cloud;valve anti-cheat enabled;includes level editor;remote play on tablet,0.88
104,online co-op;cross-platform multiplayer;steam achievements;in-app purchases;partial controller support;requires agreement to a 3rd-party eula;phantasy star online 2 eula,0.8
110,single-player;steam achievements;steam trading cards;partial controller support;steam cloud;stats;steam leaderboards;remote play on tablet;incorporates 3rd-party drm: denuvo anti-tamper5 different pc within a day machine activation limit;requires agreement to a 3rd-party eula;monster hunter: world eula,0.91
111,single-player;online pvp;online co-op;steam achievements;full controller support;steam cloud;remote play on tablet;remote play on tv;requires agreement to a 3rd-party eula;no man's sky eula,0.89
114,single-player;online pvp;online co-op;full controller support;steam cloud;steam leaderboards;remote play on phone;remote play on tablet;remote play on tv;requires agreement to a 3rd-party eula;risk of rain 2 eula,0.96
118,online pvp;steam workshop;steam cloud;valve anti-cheat enabled;requires agreement to a 3rd-party eula;day;z eula,0.82
122,single-player;steam achievements;partial controller support;steam cloud;remote play on phone;remote play on tablet;requires agreement to a 3rd-party eula;the elder scrolls v: skyrim special edition eula,0.96
124,single-player;mmo;steam achievements;full controller support;steam workshop;steam cloud;valve anti-cheat enabled;includes level editor;remote play on tablet,0.88
135,single-player;online pvp;lan pvp;online co-op;lan co-op;steam achievements;steam trading cards;steam workshop;remote play on tablet;requires agreement to a 3rd-party eula;total war: warhammer ii eula,0.94
136,online pvp;stats;remote play on phone;remote play on tablet;requires agreement to a 3rd-party eula;playerunknown's battlegrounds  eula,0.48
140,single-player;online co-op;lan co-op;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet,0.98
142,single-player;steam achievements;full controller support;steam cloud;remote play on phone;remote play on tablet;remote play on tv;requires agreement to a 3rd-party eula;fallout 4 eula,0.91
145,single-player;online pvp;shared/split screen pvp;online co-op;shared/split screen co-op;cross-platform multiplayer;steam achievements;full controller support;steam trading cards;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.84
152,single-player;downloadable content;steam achievements;steam trading cards;partial controller support;steam cloud;stats;steam leaderboards;incorporates 3rd-party drm: denuvo anti-tamper5 different pc within a day machine activation limit,0.59
161,single-player;cross-platform multiplayer;steam achievements;steam trading cards;steam workshop;steam cloud;requires agreement to a 3rd-party eula;stellaris eula,0.9
162,single-player;steam achievements;steam trading cards;steam workshop;steam cloud;incorporates 3rd-party drm: denuvo anti-tamper;requires agreement to a 3rd-party eula;planet zoo eula,0.91
164,single-player;online pvp;lan pvp;online co-op;lan co-op;steam achievements;steam trading cards;captions available;steam workshop;partial controller support;steam leaderboards;includes level editor;requires agreement to a 3rd-party eula;arma 3 eula,0.88
167,single-player;steam achievements;full controller support;steam cloud;remote play on tv;requires agreement to a 3rd-party eula;detroit: become human eula,0.9
172,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv,0.9
173,single-player;online co-op;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tablet;remote play on tv,0.84
176,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv;requires agreement to a 3rd-party eula;kingdom come: deliverance eula,0.82
178,single-player;online pvp;lan pvp;online co-op;lan co-op;steam achievements;steam trading cards;steam cloud;incorporates 3rd-party drm: denuvo anti-tamper;requires agreement to a 3rd-party eula;total war: three kingdoms eula,0.83
184,single-player;online pvp;lan pvp;cross-platform multiplayer;steam achievements;steam cloud;includes level editor;remote play on tablet,0.96
186,single-player;online pvp;steam achievements;steam workshop;partial controller support;steam cloud;stats;steam leaderboards;requires agreement to a 3rd-party eula;next car game eula,0.93
188,online pvp;online co-op;steam achievements;full controller support;steam trading cards;in-app purchases;steam leaderboards;remote play on tablet;remote play on tv;requires agreement to a 3rd-party eula;hunt: showdown eula,0.78
190,mmo;online pvp;online co-op;steam trading cards;requires agreement to a 3rd-party eula;eve online eula,0.73
191,single-player;mmo;online pvp;online co-op;cross-platform multiplayer;downloadable content;partial controller support,0.75
193,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tablet,0.9
